,unix,tusd_mcap
421,1558224000,241840161.66459265
422,1558310400,242853324.9354209
423,1558396800,241819068.26885983
424,1558483200,240954972.2083975
425,1558569600,241203462.5201171
426,1558656000,240710911.14486602
427,1558742400,241547418.72730187
428,1558828800,241023026.73166636
429,1558915200,233500380.52482986
430,1559001600,233337733.00937408
431,1559088000,233342414.95836595
432,1559174400,243467469.24410468
433,1559260800,243632673.19156492
434,1559347200,243141365.34387383
435,1559433600,242527110.70541438
436,1559520000,242656559.01543975
437,1559606400,243887999.32790387
438,1559692800,248299474.6130717
439,1559779200,253583058.25048116
440,1559865600,253503295.37078673
441,1559952000,253744911.42940536
442,1560038400,253576498.09871966
443,1560124800,249763953.09550714
444,1560211200,248644109.19694567
445,1560297600,247622219.95358163
446,1560384000,245068469.99149618
447,1560470400,244955605.1955183
448,1560556800,243897076.68800515
449,1560643200,241809717.70285758
450,1560729600,231494587.59944424
451,1560816000,232936768.08719465
452,1560902400,227470630.4052175
453,1560988800,228211342.96558204
454,1561075200,223800341.4304869
455,1561161600,223597013.24533537
456,1561248000,223562260.64442658
457,1561334400,217964397.92880985
458,1561420800,214497918.3510904
459,1561507200,213070047.18018943
460,1561593600,216183548.98774406
461,1561680000,210654109.98224646
462,1561766400,214625659.79899
463,1561852800,215261971.02694914
464,1561939200,215519240.83004907
465,1562025600,215052553.33981863
466,1562112000,216892846.1736552
467,1562198400,216329852.36188105
468,1562284800,215617773.800233
469,1562371200,218374699.6251564
470,1562457600,217142361.45661533
471,1562544000,208246865.3195693
472,1562630400,208700957.3510399
473,1562716800,206092293.5717783
474,1562803200,212815216.64356253
475,1562889600,216802877.44298938
476,1562976000,218076607.9235816
477,1563062400,215819381.11847454
478,1563148800,217159072.7607691
479,1563235200,221923349.98955777
480,1563321600,223952709.3488437
481,1563408000,224137377.2290882
482,1563494400,208284697.97673318
483,1563580800,206196157.62697452
484,1563667200,208024523.3463383
485,1563753600,207670281.93939596
486,1563840000,207728307.6259315
487,1563926400,208385645.42395645
488,1564012800,203918258.24298498
489,1564099200,208044894.55619588
490,1564185600,208685297.52211148
491,1564272000,208346997.0631271
492,1564358400,206444199.31065166
493,1564444800,204034177.51542985
494,1564531200,207940263.68269062
495,1564617600,203683002.2455454
496,1564704000,206295813.2452432
497,1564790400,206316954.01146144
498,1564876800,206145118.28095612
499,1564963200,204139676.06634435
500,1565049600,200295663.3508744
501,1565136000,198710769.31242818
502,1565222400,199296286.39449516
503,1565308800,195467279.67867365
504,1565395200,197685694.79204863
505,1565481600,195844682.88193285
506,1565568000,195394505.19928718
507,1565654400,194456479.0663651
508,1565740800,193777116.75541973
509,1565827200,195549591.79043108
510,1565913600,194479237.59490106
511,1566000000,196307838.1234857
512,1566086400,195635684.22318295
513,1566172800,195619926.4733502
514,1566259200,193129851.6090873
515,1566345600,193336644.9445608
516,1566432000,194306764.23459047
517,1566518400,194997563.429537
518,1566604800,194785144.20250586
519,1566691200,195348445.6156325
520,1566777600,193655547.9242397
521,1566864000,193716552.27680436
522,1566950400,194128948.53416914
523,1567036800,196569555.7166797
524,1567123200,200249697.58763537
525,1567209600,199894339.1593671
526,1567296000,199427002.10413334
527,1567382400,202310758.64028096
528,1567468800,202057845.27125338
529,1567555200,195264066.86252826
530,1567641600,196425783.69795567
531,1567728000,198593158.4032524
532,1567814400,198390194.82421362
533,1567900800,198737315.41380283
534,1567987200,194238772.76937655
535,1568073600,194518871.3915563
536,1568160000,190587916.60110396
537,1568246400,193205777.0945057
538,1568332800,197613620.2451287
539,1568419200,197198127.76174116
540,1568505600,197314485.27375177
541,1568592000,193635407.13808167
542,1568678400,192681471.67411372
543,1568764800,190330445.76570827
544,1568851200,187086574.92997062
545,1568937600,185189746.07801276
546,1569024000,185450006.57620615
547,1569110400,186377008.43281645
548,1569196800,185444200.07364517
549,1569283200,187795198.52222595
550,1569369600,188765349.94295877
551,1569456000,188087456.99267766
552,1569542400,189807384.49098912
553,1569628800,190548360.55868506
554,1569715200,189940779.21139562
555,1569801600,190358454.0715268
556,1569888000,192912135.1165031
557,1569974400,192834957.54736814
558,1570060800,192548992.39510942
559,1570147200,192309686.36745518
560,1570233600,191330978.77944914
561,1570320000,192821267.53398225
562,1570406400,190192371.8436901
563,1570492800,187870185.70064318
564,1570579200,186048367.8501793
565,1570665600,182755913.35407874
566,1570752000,188804304.1734793
567,1570838400,188541722.59565133
568,1570924800,188865772.31942284
569,1571011200,187844645.13454312
570,1571097600,188413901.92836058
571,1571184000,187359598.59106198
572,1571270400,186680918.95796502
573,1571356800,185712049.58531436
574,1571443200,186028192.75040635
575,1571529600,186260090.85720772
576,1571616000,185747620.1564323
577,1571702400,181603832.89909688
578,1571788800,183468028.18955407
579,1571875200,181073450.75704613
580,1571961600,182351935.09148428
581,1572048000,183973206.82835102
582,1572134400,180538337.41715598
583,1572220800,179496965.6250827
584,1572307200,180358653.52217007
585,1572393600,180620981.15831116
586,1572480000,180929459.0531985
587,1572566400,180163743.92323673
588,1572652800,180209394.6101248
589,1572739200,179762602.30316553
590,1572825600,178538413.35478544
591,1572912000,180458673.12663284
592,1572998400,175112975.58361822
593,1573084800,174621647.90180182
594,1573171200,172825473.79831576
