,unix,tether_dominance
1109,1523491200,99.58359371322213
1110,1523577600,99.58367498396402
1111,1523664000,99.5823633094314
1112,1523750400,99.58315015002522
1113,1523836800,99.57542917459836
1114,1523923200,99.57700031978129
1115,1524009600,99.5746240576588
1116,1524096000,99.57151757327672
1117,1524182400,99.57538967443097
1118,1524268800,99.57506684118059
1119,1524355200,99.57626223260584
1120,1524441600,99.57883781715317
1121,1524528000,99.48248167735261
1122,1524614400,99.47532158458017
1123,1524700800,99.50589879889789
1124,1524787200,99.50750837156949
1125,1524873600,99.50769104252369
1126,1524960000,99.508308438654
1127,1525046400,99.50831122693494
1128,1525132800,99.51041592481535
1129,1525219200,99.51155802955508
1130,1525305600,99.49057459931298
1131,1525392000,99.50228368039423
1132,1525478400,99.47566537101814
1133,1525564800,99.47169485380903
1134,1525651200,99.45374895899968
1135,1525737600,99.45296997062157
1136,1525824000,99.43783146211287
1137,1525910400,99.43992974443319
1138,1525996800,99.37329954508617
1139,1526083200,99.37160692086832
1140,1526169600,99.4029609528245
1141,1526256000,99.3937952604848
1142,1526342400,99.39686109118074
1143,1526428800,99.26263878492372
1144,1526515200,99.30115728685426
1145,1526601600,99.28359774964609
1146,1526688000,99.33632823759949
1147,1526774400,99.33983076578009
1148,1526860800,99.21437787630934
1149,1526947200,99.26275374215764
1150,1527033600,98.68011330796637
1151,1527120000,98.68890433175382
1152,1527206400,98.66843756968437
1153,1527292800,98.4777707499645
1154,1527379200,98.46145992024526
1155,1527465600,98.45189140605069
1156,1527552000,98.4887964003871
1157,1527638400,98.48391170455602
1158,1527724800,98.37234551572159
1159,1527811200,98.30176812332546
1160,1527897600,98.31444997772611
1161,1527984000,98.30862643638024
1162,1528070400,98.29973289287595
1163,1528156800,98.30366117093187
1164,1528243200,98.29931830941236
1165,1528329600,98.28372389603989
1166,1528416000,98.28841564933344
1167,1528502400,98.30527300826421
1168,1528588800,98.27305686334027
1169,1528675200,98.27536484275572
1170,1528761600,98.23485619871954
1171,1528848000,98.10256213647304
1172,1528934400,98.08771382815529
1173,1529020800,98.0613433109658
1174,1529107200,98.13385123872945
1175,1529193600,98.13932291101067
1176,1529280000,97.67406036544746
1177,1529366400,97.67696681529937
1178,1529452800,97.66788656255689
1179,1529539200,97.65840641011457
1180,1529625600,97.4647250530074
